borrower_id,credit_score,total_credit,used_credit,delinquency_count
0,651,587248,54892,2
1,634,624112,38494,3
2,593,435486,349236,2
3,751,803030,55098,2
4,640,468839,23521,4
5,803,955875,485769,4
6,834,843522,252385,2
7,555,505067,37703,4
8,668,758101,363412,3
9,626,962925,176440,4
10,629,276302,204104,1
11,586,266237,81171,3
12,626,881597,274662,4
13,801,691498,438450,1
14,789,562092,230091,0
15,575,871974,283744,1
16,613,242055,271371,3
17,656,203417,196437,0
18,602,907541,446085,2
19,751,671713,131902,3
20,738,205352,419761,3
21,595,466006,383224,1
22,648,598299,237634,4
23,619,312307,249174,2
24,707,203814,363294,4
25,767,804581,239100,2
26,651,921564,21509,0
27,676,663965,368721,2
28,818,538515,473780,1
29,816,997890,148397,2
30,814,584331,191636,3
31,637,529062,34185,0
32,733,583704,232012,2
33,597,683649,234526,1
34,584,407350,443578,3
35,647,810631,28061,1
36,793,996486,156871,4
37,748,287803,434957,2
38,705,249594,232103,2
39,706,870962,430816,3
40,605,948397,458997,4
41,783,992693,39749,2
42,634,957927,270984,0
43,730,737148,419779,4
44,571,551977,411055,0
45,598,620160,277306,4
46,756,490547,417898,3
47,657,262885,76321,4
48,713,318515,51980,2
49,651,289422,60772,2
50,836,479691,450445,2
51,719,787825,97104,1
52,620,570610,388991,1
53,563,914896,442710,2
54,828,346133,1462,4
55,771,345093,80670,2
56,766,275507,66614,2
57,798,838554,181360,1
58,849,289241,403260,3
59,594,488322,305460,0
60,819,462293,167950,4
61,602,461995,375885,3
62,697,760214,62710,1
63,606,492114,438500,0
64,639,823405,181405,0
65,708,754106,209104,4
66,837,486091,134256,3
67,737,713701,427777,1
68,660,760118,439319,2
69,665,570010,231510,0
70,681,634297,68365,4
71,739,483776,105279,4
72,768,529489,244315,2
73,752,245391,32132,0
74,727,704503,124703,0
75,559,808230,444582,0
76,575,914017,315133,2
77,777,404595,442456,0
78,720,401729,445656,2
79,817,610338,438036,1
80,670,301394,219981,3
81,714,500023,99981,4
82,590,610126,261405,2
83,700,295867,274067,2
84,845,570779,489988,1
85,756,354977,322727,2
86,834,532776,161047,2
87,655,249044,400628,2
88,669,875214,196955,3
89,765,661789,413692,0
90,637,729973,83805,4
91,658,369563,399519,2
92,574,249090,368835,4
93,636,213602,301497,2
94,808,223045,163529,0
95,654,865847,413001,1
96,735,763712,56594,3
97,805,657585,4530,1
98,732,432724,234592,1
99,768,262505,78975,1
100,822,854812,419642,1
101,744,527060,496503,0
102,628,622773,67128,4
103,565,309588,156348,4
104,621,495700,5661,2
105,615,640656,258808,4
106,634,288846,210177,3
107,623,833029,431560,4
108,816,619228,306954,2
109,731,809602,225990,0
110,817,622442,130334,0
111,623,786884,266000,4
112,601,613418,109994,1
113,828,586117,156220,2
114,817,586094,465570,4
115,828,942958,274118,1
116,783,978185,354294,2
117,561,326985,232809,2
118,761,256783,7684,2
119,740,360250,92680,4
120,796,870325,37858,4
121,743,403494,439447,1
122,804,378334,38834,0
123,818,305598,190533,1
124,727,442935,264477,4
125,711,779562,118364,3
126,825,338570,284732,4
127,642,765499,378314,0
128,848,475774,255768,1
129,602,745254,443876,2
130,668,211300,235800,3
131,566,300085,415790,4
132,619,205945,246709,1
133,795,950125,199289,0
134,824,357621,381754,0
135,796,673333,174687,4
136,828,399532,252145,0
137,743,941448,42904,4
138,649,907114,421045,3
139,782,508722,209636,3
140,692,389342,449954,1
141,674,958776,137318,3
142,847,275235,422290,0
143,617,204654,385371,0
144,592,837110,306728,2
145,654,509645,189200,2
146,707,610428,99029,1
147,662,202350,337156,3
148,739,702320,143157,4
149,578,310951,489816,3
150,754,856990,406778,4
151,689,539540,40648,2
152,614,676556,124282,1
153,639,721976,408596,2
154,674,313745,410673,0
155,826,749610,285024,1
156,648,396278,232562,0
157,728,435000,422560,4
158,813,912130,34188,1
159,806,720298,377546,4
160,697,473532,155425,4
161,732,448574,492046,2
162,590,289406,466745,1
163,848,986561,350121,1
164,630,769088,97870,3
165,565,499790,130658,1
166,635,650870,260524,3
167,613,929146,211128,1
168,592,724734,276698,3
169,711,736395,243157,4
170,675,858842,100542,1
171,550,690801,422754,3
172,571,594001,106073,2
173,714,934115,246256,0
174,751,650516,157014,1
175,581,238522,300116,0
176,697,446600,102990,0
177,801,676290,332612,2
178,733,309073,498003,0
179,578,451616,87069,0
180,807,781240,150619,3
181,836,807323,295686,4
182,585,439246,372378,3
183,738,411745,326627,3
184,797,566897,305867,1
185,761,463558,278204,0
186,827,382254,237909,0
187,556,841149,139647,1
188,657,554277,414470,0
189,820,578391,477122,3
190,613,431309,59470,1
191,583,853771,86583,0
192,647,351184,294909,3
193,722,428295,369561,4
194,793,904733,96622,2
195,579,773138,11859,2
196,704,445459,224221,3
197,622,942277,248839,0
198,831,631509,388204,0
199,847,429355,215259,0
200,815,321812,113558,3
201,814,546615,401931,3
202,821,677493,452245,0
203,705,895180,252943,1
204,834,391911,450954,3
205,606,791181,464725,3
206,640,966398,23622,3
207,603,934192,159248,2
208,573,442370,411776,3
209,686,684485,27121,0
210,806,773085,221866,3
211,577,622300,370290,1
212,843,923654,321541,4
213,744,549462,120262,0
214,617,693827,323074,1
215,775,639959,410145,2
216,555,977965,93078,4
217,773,934630,66654,3
218,738,301258,118180,0
219,689,452603,63870,1
220,638,636358,262906,1
221,675,976924,401529,3
222,731,330636,201677,3
223,716,852067,143809,3
224,842,754083,281511,3
225,706,641744,68038,2
226,809,893889,49312,1
227,836,983436,424596,1
228,844,342408,292823,2
229,653,801259,461956,1
230,563,413560,219609,4
231,569,240208,295145,3
232,689,270005,493673,3
233,708,880992,363242,4
234,832,340022,43285,4
235,731,917434,241097,1
236,597,486171,171408,3
237,717,388400,357896,2
238,562,766744,159387,3
239,794,649758,345721,4
240,751,709868,55575,3
241,568,706744,447021,3
242,804,547559,92277,3
243,628,784777,223656,0
244,601,880969,394389,0
245,829,437705,14191,1
246,689,504361,440936,2
247,695,681509,453221,0
248,727,651227,162239,1
249,810,968770,189126,2
250,814,933895,36226,0
251,833,241357,3832,0
252,627,708869,217771,4
253,637,996603,177065,2
254,753,463713,301356,2
255,793,367871,341026,0
256,586,984503,136487,3
257,700,811773,149982,1
258,790,245775,209972,1
259,681,732032,194670,0
260,836,398692,194171,1
261,610,871814,280819,1
262,705,311061,378060,1
263,775,304176,430919,1
264,679,638577,458257,4
265,583,873783,218301,3
266,756,371634,130588,2
267,778,682386,335342,3
268,553,626370,386503,0
269,702,421973,355042,2
270,637,544593,206552,4
271,714,372899,373732,1
272,718,411605,337307,0
273,747,221198,349635,3
274,555,963651,349622,2
275,637,203129,300259,3
276,788,370900,140881,1
277,564,393898,48090,4
278,654,239482,399952,0
279,617,281962,394674,4
280,576,613470,241404,0
281,619,284250,446964,2
282,604,536211,28491,2
283,710,494616,374827,4
284,661,702956,477106,2
285,758,787953,325869,3
286,616,949564,413747,1
287,574,971610,260242,0
288,792,876116,310388,4
289,644,812769,151199,3
290,750,371258,35950,0
291,668,912212,146161,0
292,641,300306,474953,4
293,835,341027,385470,1
294,672,601143,171241,0
295,828,651074,56946,2
296,616,822182,208223,1
297,689,369403,378932,2
298,696,459251,383794,1
299,799,429710,221353,1
300,647,855649,307774,2
301,626,805607,102400,1
302,596,325649,450315,2
303,656,381795,175432,2
304,804,590094,309465,3
305,589,783419,370884,4
306,601,994637,403636,4
307,793,658340,490223,2
308,800,706837,290300,0
309,759,502330,271029,1
310,662,790919,90275,3
311,582,353902,96075,4
312,744,808368,410985,1
313,594,355047,282216,0
314,849,209314,317068,4
315,818,351619,236596,4
316,819,360817,34089,0
317,690,238065,375079,0
318,848,843462,321417,2
319,847,923936,407712,2
320,625,847161,187285,1
321,631,988728,141060,0
322,694,479927,108430,1
323,695,786090,32069,0
324,711,672373,85935,0
325,783,959013,444302,1
326,693,721128,9978,4
327,736,373443,375126,3
328,768,792455,6057,3
329,568,468319,413474,0
330,838,959886,472425,4
331,784,344277,85103,2
332,665,805056,457017,1
333,582,527297,73941,2
334,794,624125,259072,1
335,808,465058,95262,3
336,761,691777,428906,2
337,724,703565,306880,4
338,592,816168,107790,3
339,557,546245,14952,3
340,691,673307,162632,1
341,803,988686,242434,3
342,828,526484,131465,4
343,846,607951,298758,1
344,697,590434,297861,1
345,584,856051,331904,1
346,743,880772,41158,2
347,627,308246,282509,2
348,722,327901,176013,3
349,654,530070,400615,4
350,655,362645,433194,1
351,848,813004,138678,1
352,760,799295,391964,4
353,589,770079,91159,1
354,611,605390,174221,4
355,677,463984,63087,2
356,607,707543,311307,4
357,555,755904,328131,1
358,739,513003,391130,1
359,734,598422,212052,4
360,600,981503,56081,4
361,641,974728,154051,2
362,767,336263,238012,1
363,791,689119,484388,1
364,784,624493,151682,1
365,810,757846,55457,0
366,657,512244,221819,3
367,702,690820,419677,3
368,601,934655,499748,3
369,704,525141,456483,1
370,603,441166,185500,3
371,801,769972,132887,1
372,814,529892,159762,1
373,661,849918,176335,3
374,598,890866,483301,3
375,757,391034,5295,2
376,630,661756,352370,1
377,772,972016,492176,0
378,830,295235,226501,4
379,745,880966,43606,4
380,555,760505,442193,3
381,792,584584,350274,2
382,756,259025,101385,4
383,753,979713,486536,4
384,816,730666,169313,2
385,713,656479,272438,2
386,566,237216,288924,0
387,843,341657,103331,4
388,578,623810,482588,4
389,809,863717,127350,0
390,840,902275,299863,0
391,632,526865,107410,1
392,839,992825,163863,1
393,836,835026,268612,1
394,761,766951,157141,2
395,842,330837,272579,0
396,634,224663,295792,4
397,730,929068,26290,3
398,801,279925,378301,1
399,612,249761,308994,0
400,775,522488,316059,0
401,817,792944,26241,2
402,796,729544,244507,1
403,841,609298,486224,3
404,847,627401,461138,3
405,621,330891,483477,2
406,653,328946,246786,3
407,837,991527,312256,0
408,680,549278,393871,3
409,726,829002,165720,4
410,789,821173,463886,2
411,657,939622,889,2
412,653,964680,254807,3
413,846,997868,420462,3
414,827,494760,72194,0
415,770,557815,166762,0
416,705,710822,8451,0
417,822,635069,344653,2
418,714,539158,426898,4
419,576,939965,255130,1
420,809,486860,63073,2
421,788,700730,425956,4
422,784,201868,62715,1
423,796,679844,313177,0
424,849,991353,8660,0
425,814,861267,213110,1
426,669,314430,92185,3
427,703,293813,332854,1
428,814,536814,479590,3
429,760,281806,462163,0
430,603,665468,18842,4
431,757,657854,364160,4
432,579,226350,403247,3
433,744,420233,496364,0
434,836,843832,209020,2
435,559,908010,255281,3
436,820,576863,68397,0
437,727,519504,267689,4
438,849,489292,494170,0
439,806,633907,316121,1
440,668,680172,478583,0
441,635,738127,252880,3
442,693,555613,384444,0
443,619,669899,412915,4
444,699,644963,418974,2
445,724,511245,262399,4
446,626,462651,77891,0
447,571,643612,444334,3
448,845,400870,331268,2
449,790,852235,40380,3
450,662,508169,413383,0
451,841,417454,247073,2
452,569,321594,330945,2
453,734,936531,458190,0
454,584,999319,80590,0
455,581,267595,377181,2
456,743,919199,51596,0
457,748,676162,46466,1
458,811,874651,195920,2
459,715,609330,288811,2
460,640,664568,391866,0
461,655,773873,251418,3
462,596,691757,11301,1
463,724,831466,374598,3
464,623,990338,325570,3
465,604,521445,423450,2
466,774,253059,245150,3
467,597,386154,88013,2
468,665,640865,32183,3
469,583,425231,218038,3
470,823,691670,260641,2
471,615,486258,245288,3
472,698,552724,242497,1
473,681,975300,297805,0
474,750,757036,105142,2
475,797,582141,369938,1
476,579,528522,302507,4
477,683,730668,66147,0
478,624,822294,427998,1
479,663,880022,213441,1
480,767,496871,212751,3
481,843,262107,8785,4
482,619,681538,463342,3
483,695,292038,235645,2
484,612,922863,29776,0
485,805,661212,375174,2
486,552,572583,70376,4
487,553,486457,291858,3
488,810,286201,212731,2
489,802,397892,173036,1
490,755,447360,153607,0
491,831,524009,204259,2
492,835,385715,178233,4
493,671,259957,192826,3
494,796,436959,275668,2
495,727,842808,18383,3
496,621,335397,147821,2
497,780,765738,477015,0
498,623,365801,287,4
499,582,862945,78509,2
500,747,295148,461465,1
501,807,943399,311110,4
502,839,839508,110043,4
503,717,671481,386932,4
504,774,788124,248083,3
505,707,467284,186297,0
506,690,813638,326968,4
507,783,631580,357363,2
508,714,592706,28245,3
509,687,735836,286384,0
510,774,668069,303608,2
511,771,212436,151228,2
512,652,902048,369326,1
513,692,652045,22033,4
514,673,264536,495730,1
515,843,806734,495293,4
516,704,858476,414335,3
