borrower_id,loan_amount,loan_tenure,interest_rate,default
0,664298,56,9.245568797036217,0
1,788406,59,12.095633022471748,0
2,220403,50,16.49950955490752,0
3,591687,30,9.640810156380276,1
4,928534,32,12.386929497691948,0
5,396859,33,17.318117254687415,0
6,278226,26,10.586545833044182,0
7,612913,18,10.713691029615358,0
8,520781,24,11.293258137191588,0
9,549576,44,12.510284463388839,1
10,824556,15,16.225707500038503,1
11,961705,39,10.674520115007352,0
12,548957,52,14.706523039745067,0
13,876764,49,8.205653867937471,0
14,464161,50,16.50986217819394,0
15,177623,48,13.421624911397057,0
16,202353,25,15.324791220427127,1
17,392905,46,16.43470665262908,0
18,525878,34,14.136210091441697,1
19,725899,41,13.222592969461104,0
20,870106,13,10.05538320901696,0
21,606409,55,11.358079121204266,0
22,206379,18,14.926024758879116,0
23,444410,57,14.014755556540605,1
24,345316,46,14.96207998855112,0
25,128311,12,13.98913075713018,1
26,269098,12,12.510534212197879,0
27,995395,34,8.460561638963322,0
28,547544,35,17.2693068646816,0
29,815350,14,9.77705419449987,0
30,400172,54,9.6333324340303,0
31,972950,43,17.530067006617784,0
32,657021,44,12.926774079942824,0
33,790092,32,8.085547014457251,0
34,186860,51,16.966467357736054,0
35,357567,21,14.923060338422442,0
36,588683,56,17.646048671996727,0
37,322684,12,16.38803883820141,0
38,225473,33,15.654914005544477,0
39,265710,17,8.749377677996144,0
40,615356,20,13.870687283737904,0
41,879444,34,10.730361728525102,1
42,622902,57,15.81083400763109,0
43,166478,38,16.408956947719048,0
44,509050,57,17.89345525840656,0
45,589071,48,8.1631272731785,0
46,337677,22,15.011286596619161,0
47,772294,58,14.97248928437791,0
48,825796,45,10.747104308824328,0
49,911656,21,12.611114320765365,0
50,278277,33,8.271389296265246,0
51,423078,37,9.585303241719478,1
52,528415,37,10.645049235898755,0
53,330739,53,9.65141370478731,0
54,765575,13,8.750786068079224,1
55,140902,22,11.551916920653293,1
56,196120,44,17.858855660214292,0
57,731253,27,10.675873755925256,0
58,860414,54,10.983180882731938,0
59,440150,48,14.938136441175976,0
60,978355,53,13.063852801369125,0
61,181740,47,15.292465936096068,1
62,536897,54,12.014672344304417,1
63,823506,55,16.77434018048889,0
64,868144,41,8.857810190318746,0
65,867871,32,9.982063206817077,0
66,271922,48,12.938070412733207,0
67,823103,42,8.378019584132325,1
68,574198,55,11.28497561588398,0
69,453941,52,12.330640263345613,0
70,902349,51,17.214246134749303,0
71,124176,21,15.09401589117152,0
72,935871,40,15.15972284151409,0
73,472206,22,15.85128424638663,1
74,946353,18,17.450532249319483,1
75,370008,35,17.21925743247483,0
76,688781,48,9.170530638943688,0
77,833941,28,13.39922604732712,0
78,193239,21,9.093304503061054,1
79,971807,40,14.599664407703518,0
80,600550,37,14.75103176967434,0
81,196978,26,14.30094052829984,0
82,306102,55,13.654017724710153,1
83,435727,43,8.849714580458627,0
84,791139,46,17.726590179301635,0
85,231941,44,9.343662822123438,0
86,233340,39,14.64879722529264,0
87,881112,22,16.261147729229013,0
88,880361,47,11.946061831289045,1
89,185976,45,14.849053637228806,0
90,193255,12,13.44089515092316,0
91,593912,19,9.866608298587458,1
92,260505,19,15.195535271423644,1
93,132083,15,10.305345529201661,0
94,124310,25,11.006950794669693,0
95,783538,54,12.698057884231964,0
96,156385,45,12.91218194625935,0
97,336798,47,16.375494904160572,0
98,567729,33,10.130198745578696,0
99,196143,52,13.450750147226085,1
100,181950,24,12.346556357292036,0
101,933572,13,13.341280985691132,1
102,124808,57,13.6546895278402,0
103,706918,35,13.99030445212405,1
104,672377,59,10.21585228925059,0
105,994791,22,8.215645855527685,0
106,474115,29,16.42082475713436,0
107,463942,26,10.93121808545196,1
108,879613,24,14.596878799035114,1
109,938448,23,16.479116766360526,0
110,962759,41,8.056679055297261,0
111,762430,49,13.033630508918145,0
112,985729,45,11.496472972756559,0
113,267517,17,16.68569786310277,0
114,858372,40,12.73717665834127,0
115,225567,18,17.453661688455725,0
116,923338,45,11.915352317568537,0
117,418567,48,15.439343529946667,0
118,401317,50,10.471680591319025,0
119,897168,35,9.336340213508544,0
120,547357,31,14.260325221258524,0
121,582995,35,12.451045705165944,0
122,951409,52,11.024198515335442,0
123,829460,38,17.806842275253043,0
124,772192,42,8.942331541735147,0
125,965122,42,8.337496448985004,0
126,782071,14,9.799860558795004,0
127,827442,23,11.985938050662037,1
128,701286,36,11.212325569080152,0
129,883856,50,15.440228769969035,0
130,947807,13,8.912749442548408,0
131,474365,39,9.81486538043789,0
132,425450,16,15.022573022787435,1
133,862976,52,11.737250563780469,0
134,193654,44,12.375268678855189,1
135,827872,46,11.526941834363317,1
136,104600,15,8.251461783952326,1
137,914025,25,16.951988146035976,1
138,330127,47,10.283362529453791,1
139,364760,24,14.494679153749187,0
140,735090,38,15.343972002443824,0
141,929444,43,10.33782205066431,0
142,992103,12,16.402156942590416,0
143,796821,33,8.408414390959479,0
144,918840,31,14.069604130332436,1
145,411227,43,14.977555475172542,1
146,895686,32,15.538076661363323,1
147,746836,45,13.241920212279975,0
148,926254,40,15.996490712727196,0
