Date,Open,High,Low,Close,Volume
2024-01-01,184.49,183.22,182.07,182.73,68876523
2024-01-02,179.38,186.09,177.44,181.05,83155995
2024-01-03,180.66,181.97,179.09,180.99,76870100
2024-01-04,180.09,182.12,176.8,180.13,56869542
2024-01-05,181.05,183.97,177.76,181.9,83485622
2024-01-06,182.3,188.38,183.81,184.09,50362051
2024-01-07,182.69,184.21,181.61,182.7,72095712
2024-01-08,185.93,187.59,180.52,185.74,66335336
2024-01-09,185.39,188.49,185.58,187.15,72682238
2024-01-10,183.43,186.92,183.52,184.95,64445039
